experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1,n_features
XGB_top75,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,75
XGB_top100,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,100
XGB_top100,2,0.6631578947368421,0.9894736842105263,0.3333333333333333,0.6666666666666666,100
XGB_top100,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,100
XGB_top100,4,0.8263888888888888,0.9791666666666666,0.5,1.0,100
XGB_top100,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,100
XGB_top100,6,0.7357224676812306,0.9690721649484536,0.6666666666666666,0.5714285714285714,100
XGB_top100,7,0.8959381044487428,0.9787234042553191,0.8,0.9090909090909091,100
XGB_top100,8,0.6363008971704623,0.9565217391304348,0.2857142857142857,0.6666666666666666,100
XGB_top100,9,0.7430555555555555,0.9791666666666666,0.5,0.75,100
XGB_top100,10,0.7892473118279569,0.967741935483871,0.4,1.0,100
XGB_top100,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666,100
XGB_top100,12,0.6527777777777778,0.9583333333333334,0.0,1.0,100
XGB_top100,13,0.8585858585858586,1.0,0.6666666666666666,0.9090909090909091,100
XGB_top100,14,0.8307435254803676,0.968421052631579,0.6666666666666666,0.8571428571428571,100
XGB_top100,15,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,100
XGB_top100,16,0.7228070175438597,0.968421052631579,0.4,0.8,100
XGB_top100,17,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888,100
XGB_top100,18,0.7794871794871794,0.967032967032967,0.5714285714285714,0.8,100
XGB_top100,19,0.7430555555555555,0.9791666666666666,0.5,0.75,100
XGB_top100,20,0.9297491039426523,0.989247311827957,0.8,1.0,100
XGB_top100,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,100
XGB_top100,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,100
XGB_top100,23,0.9097222222222222,0.9791666666666666,1.0,0.75,100
XGB_top100,24,0.8263888888888888,0.9791666666666666,0.5,1.0,100
XGB_top100,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,100
XGB_top125,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,125
XGB_top125,2,0.6631578947368421,0.9894736842105263,0.3333333333333333,0.6666666666666666,125
XGB_top125,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,125
XGB_top125,4,0.8263888888888888,0.9791666666666666,0.5,1.0,125
XGB_top125,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,125
XGB_top125,6,0.7357224676812306,0.9690721649484536,0.6666666666666666,0.5714285714285714,125
XGB_top125,7,0.6224747474747475,0.9583333333333334,0.0,0.9090909090909091,125
XGB_top125,8,0.5773169482846902,0.946236559139785,0.2857142857142857,0.5,125
XGB_top125,9,0.7430555555555555,0.9791666666666666,0.5,0.75,125
XGB_top125,10,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,125
XGB_top125,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666,125
XGB_top125,12,0.6527777777777778,0.9583333333333334,0.0,1.0,125
XGB_top125,13,0.8585858585858586,1.0,0.6666666666666666,0.9090909090909091,125
XGB_top125,14,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571,125
XGB_top125,15,0.8394736842105264,0.968421052631579,0.8,0.75,125
XGB_top125,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,125
XGB_top125,17,0.8893518518518518,0.9791666666666666,0.8,0.8888888888888888,125
XGB_top125,18,0.8149758454106281,0.9782608695652174,0.6666666666666666,0.8,125
XGB_top125,19,0.7430555555555555,0.9791666666666666,0.5,0.75,125
XGB_top125,20,0.9297491039426523,0.989247311827957,0.8,1.0,125
XGB_top125,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,125
XGB_top125,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,125
XGB_top125,23,0.9097222222222222,0.9791666666666666,1.0,0.75,125
XGB_top125,24,0.8263888888888888,0.9791666666666666,0.5,1.0,125
XGB_top125,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,125
XGB_top150,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,150
XGB_top150,2,0.746031746031746,1.0,0.5714285714285714,0.6666666666666666,150
XGB_top150,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,150
XGB_top150,4,0.8263888888888888,0.9791666666666666,0.5,1.0,150
XGB_top150,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,150
XGB_top150,6,0.7357224676812306,0.9690721649484536,0.6666666666666666,0.5714285714285714,150
XGB_top150,7,0.7925039872408294,0.968421052631579,0.5,0.9090909090909091,150
XGB_top150,8,0.5773169482846902,0.946236559139785,0.2857142857142857,0.5,150
XGB_top150,9,0.7430555555555555,0.9791666666666666,0.5,0.75,150
XGB_top150,10,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,150
XGB_top150,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666,150
XGB_top150,12,0.6527777777777778,0.9583333333333334,0.0,1.0,150
XGB_top150,13,0.8585858585858586,1.0,0.6666666666666666,0.9090909090909091,150
XGB_top150,14,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571,150
XGB_top150,15,0.8394736842105264,0.968421052631579,0.8,0.75,150
XGB_top150,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,150
XGB_top150,17,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888,150
XGB_top150,18,0.8149758454106281,0.9782608695652174,0.6666666666666666,0.8,150
XGB_top150,19,0.7430555555555555,0.9791666666666666,0.5,0.75,150
XGB_top150,20,0.9297491039426523,0.989247311827957,0.8,1.0,150
XGB_top150,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,150
XGB_top150,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334,150
