experiment,filename,true_label,times_tested,times_correct,accuracy
Exp1_XGB_baseline,Train31.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train32.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train33.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train34.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train35.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train36.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train37.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train38.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train39.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train4.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train40.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train41.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train42.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train43.csv,Side II,3,2,0.6666666666666666
Exp1_XGB_baseline,Train44.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train45.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train46.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train47.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train48.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train49.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train5.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train50.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train51.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train52.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train53.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train54.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train55.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train56.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train57.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train58.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train59.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train6.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train60.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train61.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train62.csv,Side I,3,0,0.0
Exp1_XGB_baseline,Train63.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train64.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train65.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train66.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train67.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train68.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train69.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train7.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train70.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train71.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train72.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train73.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train74.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train75.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train76.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train77.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train78.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train79.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train8.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train80.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train81.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train82.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train83.csv,Side I,3,1,0.3333333333333333
Exp1_XGB_baseline,Train84.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train85.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train86.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train87.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train88.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train89.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train9.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train90.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train91.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train92.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train93.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train94.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train95.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train96.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train97.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train98.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train99.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train1.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train10.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train100.csv,Side I,3,0,0.0
Exp2_XGB_sample_weighted,Train101.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train102.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train103.csv,Side II,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train104.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train105.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train106.csv,Side I,3,2,0.6666666666666666
Exp2_XGB_sample_weighted,Train107.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train108.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train109.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train11.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train110.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train111.csv,Side II,3,3,1.0
Exp2_XGB_sample_weighted,Train112.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train113.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train114.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train115.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train116.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train117.csv,Normal,3,3,1.0
Exp2_XGB_sample_weighted,Train118.csv,Normal,3,3,1.0
