experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
Exp6_Ensemble_XGB_ExtraTrees,5,0.8540644540644541,0.9777777777777777,0.8571428571428571,0.7272727272727273
Exp6_Ensemble_XGB_ExtraTrees,6,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
Exp6_Ensemble_XGB_ExtraTrees,7,0.7797235023041474,0.967741935483871,0.5714285714285714,0.8
Exp6_Ensemble_XGB_ExtraTrees,8,0.762962962962963,0.9555555555555556,0.6666666666666666,0.6666666666666666
Exp6_Ensemble_XGB_ExtraTrees,9,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
Exp6_Ensemble_XGB_ExtraTrees,10,0.8475968475968476,0.967032967032967,0.6666666666666666,0.9090909090909091
Exp6_Ensemble_XGB_ExtraTrees,11,0.7831649831649831,0.9555555555555556,0.6666666666666666,0.7272727272727273
Exp6_Ensemble_XGB_ExtraTrees,12,0.9298245614035089,0.9894736842105263,0.8,1.0
Exp6_Ensemble_XGB_ExtraTrees,13,0.826241134751773,0.9787234042553191,0.5,1.0
Exp6_Ensemble_XGB_ExtraTrees,14,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
Exp6_Ensemble_XGB_ExtraTrees,15,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
