feature,importance
vib_car8_sideII_power_0_250_mean,0.00047600476
vib_car6_power_0_250_mean_I_minus_II,0.00047094433
shock_sideII_max_abs_std,0.00046754937
vib_car1_total_power_max_I_div_II,0.00046569516
vib_car4_sideII_power_750_1000_mean,0.0004576665
vib_car7_sideII_power_250_500_max,0.0004520159
shock_sideII_rms_per_speed,0.00045199686
vib_relative_power_250_500_mean_I_minus_II,0.00045057994
vib_car3_power_0_250_mean_I_div_II,0.00044948942
shock_sideI_max_abs_mean,0.00044029797
vib_car7_sideI_std_max,0.00043609497
vib_car4_sideI_spectral_centroid_max,0.00043543032
vib_car6_rms_max_I_minus_II,0.0004345369
shock_std_max_asymmetry_index,0.00043182762
vib_car7_power_250_500_mean_I_div_II,0.00042064948
vib_sideII_crest_factor_mean,0.00041786247
vib_sideII_relative_power_0_250_std,0.00041767236
vib_sideII_kurtosis_mean,0.00040558938
vib_inv_total_power_mean_car_asym_min,0.00040406996
shock_total_power_mean_I_minus_II,0.0004036352
vib_sideI_relative_power_1000_1500_std,0.0004023842
vib_car3_sideII_spectral_centroid_mean,0.00040177305
shock_sideI_power_2000_2500_std,0.0004007945
vib_sideI_max_abs_std,0.00039466898
shock_sideI_relative_power_3000_3500_std,0.00039285756
vib_inv_power_250_500_max_top2_cars_ratio_mean,0.00038768505
vib_sideI_power_250_500_max,0.00038261432
vib_inv_total_power_max_car_asym_median,0.00037890716
vib_sideII_relative_power_1000_1500_mean,0.00037179774
vib_car7_sideII_total_power_mean,0.00036854716
vib_inv_power_250_500_max_car_asym_max,0.0003658165
vib_car7_sideI_power_0_250_max,0.00035774533
vib_car1_sideI_spectral_centroid_mean,0.0003575639
vib_inv_total_power_mean_car_diff_std,0.00035418375
vib_car3_power_500_750_mean_I_minus_II,0.00034848193
vib_car2_sideII_spectral_centroid_mean,0.00034683087
vib_sideI_relative_power_500_750_std,0.00034645494
vib_car4_power_750_1000_mean_I_div_II,0.00034379482
