experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
ExtraTrees_top50,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top50,17,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top50,18,0.7388400130335615,0.989247311827957,0.5,0.7272727272727273
ExtraTrees_top50,19,0.7430555555555555,0.9791666666666666,0.5,0.75
ExtraTrees_top50,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_top50,21,0.5966165413533834,0.968421052631579,0.25,0.5714285714285714
ExtraTrees_top50,22,0.7832722832722833,0.945054945054945,0.5714285714285714,0.8333333333333334
ExtraTrees_top50,23,0.8449074074074074,0.9791666666666666,0.6666666666666666,0.8888888888888888
ExtraTrees_top50,24,0.6226851851851851,0.9791666666666666,0.0,0.8888888888888888
ExtraTrees_top50,25,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
XGBoost_all_features,1,0.673611111111111,0.9375,0.3333333333333333,0.75
XGBoost_all_features,2,0.6875,0.9791666666666666,0.3333333333333333,0.75
XGBoost_all_features,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091
XGBoost_all_features,4,0.8263888888888888,0.9791666666666666,0.5,1.0
XGBoost_all_features,5,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
XGBoost_all_features,6,0.6805555555555557,0.9583333333333334,0.3333333333333333,0.75
XGBoost_all_features,7,1.0,1.0,1.0,1.0
XGBoost_all_features,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666
XGBoost_all_features,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888
XGBoost_all_features,10,0.7892473118279569,0.967741935483871,0.4,1.0
XGBoost_all_features,11,0.6366092536305302,0.9574468085106383,0.2857142857142857,0.6666666666666666
XGBoost_all_features,12,0.8263888888888888,0.9791666666666666,0.5,1.0
XGBoost_all_features,13,0.8585858585858586,1.0,0.6666666666666666,0.9090909090909091
XGBoost_all_features,14,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
XGBoost_all_features,15,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
XGBoost_all_features,16,0.8263888888888888,0.9791666666666666,0.5,1.0
XGBoost_all_features,17,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
XGBoost_all_features,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273
XGBoost_all_features,19,0.7430555555555555,0.9791666666666666,0.5,0.75
XGBoost_all_features,20,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0
XGBoost_all_features,21,0.5554429809748959,0.9361702127659575,0.2857142857142857,0.4444444444444444
XGBoost_all_features,22,0.818840579710145,0.9565217391304348,0.6666666666666666,0.8333333333333334
XGBoost_all_features,23,1.0,1.0,1.0,1.0
